https://www.CryptoDataDownload.com,,,,,,,,
unix,date,symbol,open,high,low,close,Volume USD,Volume BTC
1.74355E+12,02-04-2025 00:00,BTC/USD,85196,88490,82335,82518,53076261.13,643.2082834
1.74347E+12,01-04-2025 00:00,BTC/USD,82667,85535,82568,85197,40039495.3,469.963676
1.74338E+12,31-03-2025 00:00,BTC/USD,82552,83998,81423,82673,63949979.06,773.5291941
1.74329E+12,30-03-2025 00:00,BTC/USD,82866,83697,81754,82553,63145052.31,764.9031811
1.74321E+12,29-03-2025 00:00,BTC/USD,84577,84779,81853,82865,45021424.63,543.3105005
1.74312E+12,28-03-2025 00:00,BTC/USD,87317,87578,83755,84573,103878360.7,1228.268604
1.74303E+12,27-03-2025 00:00,BTC/USD,87089,87934,85916,87317,17416664.21,199.4647573
1.74295E+12,26-03-2025 00:00,BTC/USD,87588,88460,86057,87089,69518838.24,798.2505051
1.74286E+12,25-03-2025 00:00,BTC/USD,87603,88651,86453,87606,48450848.92,553.0540023
1.74277E+12,24-03-2025 00:00,BTC/USD,86276,88868,85714,87606,29587074.52,337.7288601
1.74269E+12,23-03-2025 00:00,BTC/USD,83924,86288,83924,86267,15181328.71,175.9807192
1.7426E+12,22-03-2025 00:00,BTC/USD,84154,84594,83791,83919,7185743.02,85.62712878
1.74252E+12,21-03-2025 00:00,BTC/USD,84296,84945,83300,84144,26251023.49,311.9773661
1.74243E+12,20-03-2025 00:00,BTC/USD,87030,87622,83783,84296,34549913.74,409.8642135
1.74234E+12,19-03-2025 00:00,BTC/USD,82933,87189,82759,87029,58411321.13,671.1707721
1.74226E+12,18-03-2025 00:00,BTC/USD,84221,84221,81366,82933,102958347,1241.464158
1.74217E+12,17-03-2025 00:00,BTC/USD,82759,84920,82666,84246,49956730.49,592.9863791
1.74208E+12,16-03-2025 00:00,BTC/USD,84537,85280,82191,82759,26859014.73,324.5449405
1.742E+12,15-03-2025 00:00,BTC/USD,84210,84911,83832,84536,28577236.11,338.0481228
1.74191E+12,14-03-2025 00:00,BTC/USD,81289,85487,81024,84207,97700948.15,1160.247345
1.74182E+12,13-03-2025 00:00,BTC/USD,83857,84494,80101,81289,35640308.54,438.4395003
1.74174E+12,12-03-2025 00:00,BTC/USD,83148,84630,80843,83856,93228727.22,1111.771695
1.74165E+12,11-03-2025 00:00,BTC/USD,78860,83820,77041,83163,151407361.8,1820.609668
1.74156E+12,10-03-2025 00:00,BTC/USD,80954,84245,77793,78813,188593753.4,2392.926971
